Entity,Code,Year,"Number of daily smokers - both (IHME, GHDx (2012))"
Philippines,PHL,2004,12682121
Philippines,PHL,2005,12731088
Philippines,PHL,2006,12801978
Philippines,PHL,2007,12897713
Philippines,PHL,2008,13034534
Philippines,PHL,2009,13237595
Philippines,PHL,2010,13592295
Philippines,PHL,2011,13999472
Philippines,PHL,2012,14470787
Poland,POL,1980,11410832
Poland,POL,1981,11351198
Poland,POL,1982,11317706
Poland,POL,1983,11154400
Poland,POL,1984,10954072
Poland,POL,1985,10745726
Poland,POL,1986,10540861
Poland,POL,1987,10352938
Poland,POL,1988,10183519
Poland,POL,1989,10034524
Poland,POL,1990,10035379
Poland,POL,1991,10089657
Poland,POL,1992,10144350
Poland,POL,1993,10176345
Poland,POL,1994,10155168
Poland,POL,1995,10040451
Poland,POL,1996,9842770
Poland,POL,1997,9698927
Poland,POL,1998,9597482
Poland,POL,1999,9531443
Poland,POL,2000,9495964
Poland,POL,2001,9517202
Poland,POL,2002,9593431
Poland,POL,2003,9686140
Poland,POL,2004,9756887
Poland,POL,2005,9797815
Poland,POL,2006,9687814
Poland,POL,2007,9514668
Poland,POL,2008,9336071
Poland,POL,2009,9191872
Poland,POL,2010,9054428
Poland,POL,2011,8943129
Poland,POL,2012,8864459
Portugal,PRT,1980,1548910
Portugal,PRT,1981,1554079
Portugal,PRT,1982,1555760
Portugal,PRT,1983,1557946
Portugal,PRT,1984,1564514
Portugal,PRT,1985,1576539
Portugal,PRT,1986,1597693
Portugal,PRT,1987,1630508
Portugal,PRT,1988,1682210
Portugal,PRT,1989,1737497
Portugal,PRT,1990,1773998
Portugal,PRT,1991,1798444
Portugal,PRT,1992,1797973
Portugal,PRT,1993,1780875
Portugal,PRT,1994,1749726
Portugal,PRT,1995,1700586
Portugal,PRT,1996,1668596
Portugal,PRT,1997,1692943
Portugal,PRT,1998,1733955
Portugal,PRT,1999,1783253
Portugal,PRT,2000,1840972
Portugal,PRT,2001,1892186
Portugal,PRT,2002,1936229
Portugal,PRT,2003,1949878
Portugal,PRT,2004,1953275
Portugal,PRT,2005,1952022
Portugal,PRT,2006,1954024
Portugal,PRT,2007,1958523
Portugal,PRT,2008,1963785
Portugal,PRT,2009,1969933
Portugal,PRT,2010,1966197
Portugal,PRT,2011,1960307
Portugal,PRT,2012,1952984
Qatar,QAT,1980,21252
Qatar,QAT,1981,24498
Qatar,QAT,1982,28675
Qatar,QAT,1983,33407
Qatar,QAT,1984,38081
Qatar,QAT,1985,42314
Qatar,QAT,1986,45974
Qatar,QAT,1987,49129
Qatar,QAT,1988,51805
Qatar,QAT,1989,53994
Qatar,QAT,1990,55787
Qatar,QAT,1991,57158
Qatar,QAT,1992,58072
Qatar,QAT,1993,58715
Qatar,QAT,1994,59295
Qatar,QAT,1995,59995
Qatar,QAT,1996,61176
Qatar,QAT,1997,62833
Qatar,QAT,1998,64794
Qatar,QAT,1999,66743
Qatar,QAT,2000,68628
Qatar,QAT,2001,69856
Qatar,QAT,2002,70998
Qatar,QAT,2003,74610
Qatar,QAT,2004,84092
Qatar,QAT,2005,101640
Qatar,QAT,2006,128318
Qatar,QAT,2007,162751
Qatar,QAT,2008,201409
Qatar,QAT,2009,239310
Qatar,QAT,2010,272481
Qatar,QAT,2011,299682
Qatar,QAT,2012,321940
Romania,ROU,1980,4340999
Romania,ROU,1981,4322443
Romania,ROU,1982,4301164
Romania,ROU,1983,4282896
Romania,ROU,1984,4275505
Romania,ROU,1985,4287728
Romania,ROU,1986,4324707
Romania,ROU,1987,4388928
Romania,ROU,1988,4477014
Romania,ROU,1989,4581597
Romania,ROU,1990,4716070
Romania,ROU,1991,4861007
Romania,ROU,1992,5009246
Romania,ROU,1993,5151420
Romania,ROU,1994,5279173
Romania,ROU,1995,5321099
Romania,ROU,1996,5318341
Romania,ROU,1997,5206631
Romania,ROU,1998,5083030
Romania,ROU,1999,4941753
Romania,ROU,2000,4748357
Romania,ROU,2001,4591377
Romania,ROU,2002,4495822
Romania,ROU,2003,4471023
Romania,ROU,2004,4513721
Romania,ROU,2005,4649704
Romania,ROU,2006,4751116
Romania,ROU,2007,4842988
Romania,ROU,2008,4920408
Romania,ROU,2009,4951778
Romania,ROU,2010,4938061
Romania,ROU,2011,4904420
Romania,ROU,2012,4870683
Russia,RUS,1980,37945946
Russia,RUS,1981,38008382
Russia,RUS,1982,38027068
Russia,RUS,1983,38042123
Russia,RUS,1984,38032799
Russia,RUS,1985,38017335
Russia,RUS,1986,38030592
Russia,RUS,1987,38052251
Russia,RUS,1988,38066684
Russia,RUS,1989,38069129
Russia,RUS,1990,38078221
Russia,RUS,1991,38089230
Russia,RUS,1992,38093414
Russia,RUS,1993,37757889
Russia,RUS,1994,37813808
Russia,RUS,1995,37951602
Russia,RUS,1996,38011194
Russia,RUS,1997,37652788
Russia,RUS,1998,37262874
Russia,RUS,1999,36796213
Russia,RUS,2000,36290534
Russia,RUS,2001,35841948
Russia,RUS,2002,35519076
Russia,RUS,2003,35597036
Russia,RUS,2004,35853704
Russia,RUS,2005,36201913
Russia,RUS,2006,36586859
Russia,RUS,2007,37022880
Russia,RUS,2008,37454257
Russia,RUS,2009,37842384
Russia,RUS,2010,37902915
Russia,RUS,2011,38242847
Russia,RUS,2012,38559077
Rwanda,RWA,1980,373596
Rwanda,RWA,1981,385266
Rwanda,RWA,1982,396144
Rwanda,RWA,1983,407467
Rwanda,RWA,1984,420231
Rwanda,RWA,1985,435095
Rwanda,RWA,1986,453556
Rwanda,RWA,1987,474852
Rwanda,RWA,1988,495120
Rwanda,RWA,1989,508662
Rwanda,RWA,1990,511935
Rwanda,RWA,1991,502452
Rwanda,RWA,1992,483169
Rwanda,RWA,1993,460862
Rwanda,RWA,1994,445868
Rwanda,RWA,1995,447901
Rwanda,RWA,1996,469089
Rwanda,RWA,1997,491907
Rwanda,RWA,1998,520932
Rwanda,RWA,1999,548382
Rwanda,RWA,2000,568459
Rwanda,RWA,2001,571533
Rwanda,RWA,2002,568786
Rwanda,RWA,2003,562508
Rwanda,RWA,2004,555780
Rwanda,RWA,2005,550365
Rwanda,RWA,2006,533286
Rwanda,RWA,2007,516429
Rwanda,RWA,2008,501497
Rwanda,RWA,2009,489204
Rwanda,RWA,2010,480195
Rwanda,RWA,2011,475807
Rwanda,RWA,2012,489280
Saint Lucia,LCA,1980,5708
Saint Lucia,LCA,1981,5876
Saint Lucia,LCA,1982,6056
Saint Lucia,LCA,1983,6252
Saint Lucia,LCA,1984,6477
Saint Lucia,LCA,1985,6734
Saint Lucia,LCA,1986,7034
Saint Lucia,LCA,1987,7362
Saint Lucia,LCA,1988,7719
Saint Lucia,LCA,1989,8079
Saint Lucia,LCA,1990,8431
Saint Lucia,LCA,1991,8754
Saint Lucia,LCA,1992,9059
Saint Lucia,LCA,1993,9341
Saint Lucia,LCA,1994,9620
Saint Lucia,LCA,1995,9906
Saint Lucia,LCA,1996,10202
Saint Lucia,LCA,1997,10201
Saint Lucia,LCA,1998,10255
Saint Lucia,LCA,1999,10357
Saint Lucia,LCA,2000,10498
Saint Lucia,LCA,2001,10647
Saint Lucia,LCA,2002,10821
Saint Lucia,LCA,2003,11028
Saint Lucia,LCA,2004,11285
Saint Lucia,LCA,2005,11589
Saint Lucia,LCA,2006,11958
Saint Lucia,LCA,2007,12371
Saint Lucia,LCA,2008,12806
Saint Lucia,LCA,2009,13215
Saint Lucia,LCA,2010,13577
Saint Lucia,LCA,2011,13884
Saint Lucia,LCA,2012,14130
Saint Vincent and the Grenadines,VCT,1980,5118
Saint Vincent and the Grenadines,VCT,1981,5270
Saint Vincent and the Grenadines,VCT,1982,5421
Saint Vincent and the Grenadines,VCT,1983,5568
Saint Vincent and the Grenadines,VCT,1984,5701
Saint Vincent and the Grenadines,VCT,1985,5823
Saint Vincent and the Grenadines,VCT,1986,5927
Saint Vincent and the Grenadines,VCT,1987,6018
Saint Vincent and the Grenadines,VCT,1988,6086
Saint Vincent and the Grenadines,VCT,1989,6149
Saint Vincent and the Grenadines,VCT,1990,6209
Saint Vincent and the Grenadines,VCT,1991,6278
Saint Vincent and the Grenadines,VCT,1992,6345
Saint Vincent and the Grenadines,VCT,1993,6416
Saint Vincent and the Grenadines,VCT,1994,6496
Saint Vincent and the Grenadines,VCT,1995,6569
Saint Vincent and the Grenadines,VCT,1996,6643
Saint Vincent and the Grenadines,VCT,1997,6689
Saint Vincent and the Grenadines,VCT,1998,6733
Saint Vincent and the Grenadines,VCT,1999,6779
Saint Vincent and the Grenadines,VCT,2000,6836
Saint Vincent and the Grenadines,VCT,2001,6907
Saint Vincent and the Grenadines,VCT,2002,6973
Saint Vincent and the Grenadines,VCT,2003,7033
Saint Vincent and the Grenadines,VCT,2004,7081
Saint Vincent and the Grenadines,VCT,2005,7118
Saint Vincent and the Grenadines,VCT,2006,7136
Saint Vincent and the Grenadines,VCT,2007,7148
Saint Vincent and the Grenadines,VCT,2008,7174
Saint Vincent and the Grenadines,VCT,2009,7208
Saint Vincent and the Grenadines,VCT,2010,7254
Saint Vincent and the Grenadines,VCT,2011,7307
Saint Vincent and the Grenadines,VCT,2012,7348
Samoa,WSM,1980,22767
Samoa,WSM,1981,23246
Samoa,WSM,1982,23759
Samoa,WSM,1983,24290
Samoa,WSM,1984,24776
Samoa,WSM,1985,25197
Samoa,WSM,1986,25531
Samoa,WSM,1987,25845
Samoa,WSM,1988,26168
Samoa,WSM,1989,26437
Samoa,WSM,1990,26750
Samoa,WSM,1991,27098
Samoa,WSM,1992,27429
Samoa,WSM,1993,27732
Samoa,WSM,1994,28077
Samoa,WSM,1995,28354
Samoa,WSM,1996,28560
Samoa,WSM,1997,28426
Samoa,WSM,1998,28345
Samoa,WSM,1999,28328
Samoa,WSM,2000,28297
Samoa,WSM,2001,28226
Samoa,WSM,2002,28148
Samoa,WSM,2003,27758
Samoa,WSM,2004,27327
Samoa,WSM,2005,26832
Samoa,WSM,2006,26378
Samoa,WSM,2007,25943
Samoa,WSM,2008,25622
Samoa,WSM,2009,25480
Samoa,WSM,2010,25689
Samoa,WSM,2011,25965
Samoa,WSM,2012,26316
Sao Tome and Principe,STP,1980,1839
Sao Tome and Principe,STP,1981,1870
Sao Tome and Principe,STP,1982,1894
Sao Tome and Principe,STP,1983,1911
Sao Tome and Principe,STP,1984,1926
Sao Tome and Principe,STP,1985,1943
Sao Tome and Principe,STP,1986,1960
Sao Tome and Principe,STP,1987,1976
Sao Tome and Principe,STP,1988,1995
Sao Tome and Principe,STP,1989,2022
Sao Tome and Principe,STP,1990,2054
Sao Tome and Principe,STP,1991,2092
Sao Tome and Principe,STP,1992,2135
Sao Tome and Principe,STP,1993,2179
Sao Tome and Principe,STP,1994,2220
Sao Tome and Principe,STP,1995,2252
Sao Tome and Principe,STP,1996,2277
Sao Tome and Principe,STP,1997,2295
Sao Tome and Principe,STP,1998,2313
Sao Tome and Principe,STP,1999,2340
Sao Tome and Principe,STP,2000,2380
Sao Tome and Principe,STP,2001,2436
Sao Tome and Principe,STP,2002,2506
Sao Tome and Principe,STP,2003,2589
Sao Tome and Principe,STP,2004,2680
Sao Tome and Principe,STP,2005,2777
Sao Tome and Principe,STP,2006,2884
Sao Tome and Principe,STP,2007,2998
Sao Tome and Principe,STP,2008,3121
Sao Tome and Principe,STP,2009,3249
Sao Tome and Principe,STP,2010,3379
Sao Tome and Principe,STP,2011,3513
Sao Tome and Principe,STP,2012,3649
Saudi Arabia,SAU,1980,399714
Saudi Arabia,SAU,1981,415989
Saudi Arabia,SAU,1982,431809
Saudi Arabia,SAU,1983,446998
Saudi Arabia,SAU,1984,462407
Saudi Arabia,SAU,1985,480286
Saudi Arabia,SAU,1986,505653
Saudi Arabia,SAU,1987,543988
Saudi Arabia,SAU,1988,626321
Saudi Arabia,SAU,1989,734803
Saudi Arabia,SAU,1990,864854
Saudi Arabia,SAU,1991,970977
Saudi Arabia,SAU,1992,1076589
Saudi Arabia,SAU,1993,1175601
Saudi Arabia,SAU,1994,1263368
Saudi Arabia,SAU,1995,1340779
Saudi Arabia,SAU,1996,1409684
Saudi Arabia,SAU,1997,1447521
Saudi Arabia,SAU,1998,1485157
Saudi Arabia,SAU,1999,1538302
Saudi Arabia,SAU,2000,1615053
Saudi Arabia,SAU,2001,1718522
Saudi Arabia,SAU,2002,1844054
Saudi Arabia,SAU,2003,1982704
Saudi Arabia,SAU,2004,2121220
Saudi Arabia,SAU,2005,2243497
Saudi Arabia,SAU,2006,2356186
Saudi Arabia,SAU,2007,2462685
Saudi Arabia,SAU,2008,2563340
Saudi Arabia,SAU,2009,2662948
Saudi Arabia,SAU,2010,2766358
Saudi Arabia,SAU,2011,2870828
Saudi Arabia,SAU,2012,2978090
Senegal,SEN,1980,324324
Senegal,SEN,1981,331259
Senegal,SEN,1982,337261
Senegal,SEN,1983,345441
Senegal,SEN,1984,354412
Senegal,SEN,1985,363741
Senegal,SEN,1986,373155
Senegal,SEN,1987,382246
Senegal,SEN,1988,392424
Senegal,SEN,1989,403878
Senegal,SEN,1990,416587
Senegal,SEN,1991,430112
Senegal,SEN,1992,444764
Senegal,SEN,1993,460318
Senegal,SEN,1994,476148
Senegal,SEN,1995,490296
Senegal,SEN,1996,503103
Senegal,SEN,1997,508344
Senegal,SEN,1998,510843
Senegal,SEN,1999,512416
Senegal,SEN,2000,515140
Senegal,SEN,2001,518732
Senegal,SEN,2002,523657
Senegal,SEN,2003,527137
Senegal,SEN,2004,521953
Senegal,SEN,2005,516667
Senegal,SEN,2006,513616
Senegal,SEN,2007,511148
Senegal,SEN,2008,510756
Senegal,SEN,2009,513357
Senegal,SEN,2010,518601
Senegal,SEN,2011,527115
Senegal,SEN,2012,544610
Serbia,SRB,1980,1560137
Serbia,SRB,1981,1576326
Serbia,SRB,1982,1593977
Serbia,SRB,1983,1612358
Serbia,SRB,1984,1629581
Serbia,SRB,1985,1645805
Serbia,SRB,1986,1660523
Serbia,SRB,1987,1673797
Serbia,SRB,1988,1687929
Serbia,SRB,1989,1706885
Serbia,SRB,1990,1733626
Serbia,SRB,1991,1776869
Serbia,SRB,1992,1852399
Serbia,SRB,1993,1961667
Serbia,SRB,1994,2079749
Serbia,SRB,1995,2197128
Serbia,SRB,1996,2304865
Serbia,SRB,1997,2384604
Serbia,SRB,1998,2450551
Serbia,SRB,1999,2527907
Serbia,SRB,2000,2575337
Serbia,SRB,2001,2586975
Serbia,SRB,2002,2570423
Serbia,SRB,2003,2541714
Serbia,SRB,2004,2487885
Serbia,SRB,2005,2427750
Serbia,SRB,2006,2365293
Serbia,SRB,2007,2299219
Serbia,SRB,2008,2238137
Serbia,SRB,2009,2197130
Serbia,SRB,2010,2164905
Serbia,SRB,2011,2138205
Serbia,SRB,2012,2118021
Seychelles,SYC,1980,7191
Seychelles,SYC,1981,7349
Seychelles,SYC,1982,7554
Seychelles,SYC,1983,7776
Seychelles,SYC,1984,7948
Seychelles,SYC,1985,8000
Seychelles,SYC,1986,7981
Seychelles,SYC,1987,7905
Seychelles,SYC,1988,7796
Seychelles,SYC,1989,7678
Seychelles,SYC,1990,7635
Seychelles,SYC,1991,7719
Seychelles,SYC,1992,7876
Seychelles,SYC,1993,8079
Seychelles,SYC,1994,8306
Seychelles,SYC,1995,8510
Seychelles,SYC,1996,8628
Seychelles,SYC,1997,8662
Seychelles,SYC,1998,8673
Seychelles,SYC,1999,8741
Seychelles,SYC,2000,8878
Seychelles,SYC,2001,9096
Seychelles,SYC,2002,9386
Seychelles,SYC,2003,9742
Seychelles,SYC,2004,10107
Seychelles,SYC,2005,10417
Seychelles,SYC,2006,10671
Seychelles,SYC,2007,10870
Seychelles,SYC,2008,11048
Seychelles,SYC,2009,11188
Seychelles,SYC,2010,11264
Seychelles,SYC,2011,11303
Seychelles,SYC,2012,11319
Sierra Leone,SLE,1980,336255
Sierra Leone,SLE,1981,341013
Sierra Leone,SLE,1982,345654
Sierra Leone,SLE,1983,350721
Sierra Leone,SLE,1984,356558
Sierra Leone,SLE,1985,363343
Sierra Leone,SLE,1986,371379
Sierra Leone,SLE,1987,380584
Sierra Leone,SLE,1988,389520
Sierra Leone,SLE,1989,396555
Sierra Leone,SLE,1990,400500
Sierra Leone,SLE,1991,400503
Sierra Leone,SLE,1992,397456
Sierra Leone,SLE,1993,392839
Sierra Leone,SLE,1994,388511
Sierra Leone,SLE,1995,385882
Sierra Leone,SLE,1996,385045
Sierra Leone,SLE,1997,384803
Sierra Leone,SLE,1998,387664
Sierra Leone,SLE,1999,394466
Sierra Leone,SLE,2000,405604
Sierra Leone,SLE,2001,421726
Sierra Leone,SLE,2002,442591
Sierra Leone,SLE,2003,466040
Sierra Leone,SLE,2004,489179
Sierra Leone,SLE,2005,510220
Sierra Leone,SLE,2006,528518
Sierra Leone,SLE,2007,544342
Sierra Leone,SLE,2008,558257
Sierra Leone,SLE,2009,570904
Sierra Leone,SLE,2010,584630
Sierra Leone,SLE,2011,598997
Sierra Leone,SLE,2012,614196
Singapore,SGP,1980,306001
Singapore,SGP,1981,310001
Singapore,SGP,1982,313317
Singapore,SGP,1983,316176
Singapore,SGP,1984,318636
Singapore,SGP,1985,321563
Singapore,SGP,1986,325564
Singapore,SGP,1987,329149
Singapore,SGP,1988,322394
Singapore,SGP,1989,326062
Singapore,SGP,1990,335721
Singapore,SGP,1991,340206
Singapore,SGP,1992,344468
Singapore,SGP,1993,347795
Singapore,SGP,1994,350358
Singapore,SGP,1995,352461
Singapore,SGP,1996,354775
Singapore,SGP,1997,356155
Singapore,SGP,1998,358465
Singapore,SGP,1999,358544
Singapore,SGP,2000,358342
Singapore,SGP,2001,361075
Singapore,SGP,2002,364384
Singapore,SGP,2003,368920
Singapore,SGP,2004,373250
Singapore,SGP,2005,381135
Singapore,SGP,2006,390141
Singapore,SGP,2007,389606
Singapore,SGP,2008,397983
Singapore,SGP,2009,411305
Singapore,SGP,2010,416365
Singapore,SGP,2011,419092
Singapore,SGP,2012,422659
Slovakia,SVK,1980,897431
Slovakia,SVK,1981,901577
Slovakia,SVK,1982,905270
Slovakia,SVK,1983,908874
Slovakia,SVK,1984,912804
Slovakia,SVK,1985,916893
Slovakia,SVK,1986,920886
Slovakia,SVK,1987,925276
Slovakia,SVK,1988,930483
Slovakia,SVK,1989,936319
Slovakia,SVK,1990,942685
Slovakia,SVK,1991,951772
Slovakia,SVK,1992,963764
Slovakia,SVK,1993,977196
Slovakia,SVK,1994,991971
Slovakia,SVK,1995,1006906
Slovakia,SVK,1996,1021509
Slovakia,SVK,1997,1028186
Slovakia,SVK,1998,1033918
Slovakia,SVK,1999,1040152
Slovakia,SVK,2000,1046701
Slovakia,SVK,2001,1052854
Slovakia,SVK,2002,1057945
Slovakia,SVK,2003,1061157
Slovakia,SVK,2004,1057072
Slovakia,SVK,2005,1052168
Slovakia,SVK,2006,1039228
Slovakia,SVK,2007,1025461
Slovakia,SVK,2008,1014590
Slovakia,SVK,2009,1008540
Slovakia,SVK,2010,1014609
Slovakia,SVK,2011,1023995
Slovakia,SVK,2012,1035400
Slovenia,SVN,1980,426184
Slovenia,SVN,1981,427141
Slovenia,SVN,1982,428971
Slovenia,SVN,1983,430894
Slovenia,SVN,1984,432148
Slovenia,SVN,1985,432272
Slovenia,SVN,1986,430897
Slovenia,SVN,1987,428798
Slovenia,SVN,1988,426185
Slovenia,SVN,1989,423048
Slovenia,SVN,1990,420520
Slovenia,SVN,1991,418763
Slovenia,SVN,1992,417040
Slovenia,SVN,1993,414255
Slovenia,SVN,1994,410746
Slovenia,SVN,1995,406807
Slovenia,SVN,1996,402705
Slovenia,SVN,1997,400051
Slovenia,SVN,1998,396774
Slovenia,SVN,1999,392348
Slovenia,SVN,2000,386973
Slovenia,SVN,2001,381207
Slovenia,SVN,2002,375110
Slovenia,SVN,2003,369674
Slovenia,SVN,2004,367107
Slovenia,SVN,2005,365996
Slovenia,SVN,2006,365914
Slovenia,SVN,2007,367815
Slovenia,SVN,2008,374655
Slovenia,SVN,2009,384272
Slovenia,SVN,2010,388580
Slovenia,SVN,2011,391621
Slovenia,SVN,2012,393481
Solomon Islands,SLB,1980,35195
Solomon Islands,SLB,1981,36344
Solomon Islands,SLB,1982,37470
Solomon Islands,SLB,1983,38585
Solomon Islands,SLB,1984,39746
Solomon Islands,SLB,1985,40976
Solomon Islands,SLB,1986,42272
Solomon Islands,SLB,1987,43640
Solomon Islands,SLB,1988,45075
Solomon Islands,SLB,1989,46610
Solomon Islands,SLB,1990,48274
Solomon Islands,SLB,1991,50032
Solomon Islands,SLB,1992,51845
Solomon Islands,SLB,1993,53751
Solomon Islands,SLB,1994,55751
Solomon Islands,SLB,1995,57843
Solomon Islands,SLB,1996,59992
Solomon Islands,SLB,1997,61821
Solomon Islands,SLB,1998,63812
Solomon Islands,SLB,1999,65866
Solomon Islands,SLB,2000,67849
Solomon Islands,SLB,2001,69722
Solomon Islands,SLB,2002,71480
Solomon Islands,SLB,2003,73216
Solomon Islands,SLB,2004,74862
Solomon Islands,SLB,2005,76363
Solomon Islands,SLB,2006,77767
Solomon Islands,SLB,2007,78728
Solomon Islands,SLB,2008,79839
Solomon Islands,SLB,2009,81538
Solomon Islands,SLB,2010,83493
Solomon Islands,SLB,2011,85636
Solomon Islands,SLB,2012,87843
Somalia,SOM,1980,386051
Somalia,SOM,1981,395203
Somalia,SOM,1982,395259
Somalia,SOM,1983,389206
Somalia,SOM,1984,382088
Somalia,SOM,1985,377509
Somalia,SOM,1986,376632
Somalia,SOM,1987,378470
Somalia,SOM,1988,381554
Somalia,SOM,1989,384007
Somalia,SOM,1990,384567
Somalia,SOM,1991,382809
Somalia,SOM,1992,379426
Somalia,SOM,1993,376050
Somalia,SOM,1994,374231
Somalia,SOM,1995,375408
Somalia,SOM,1996,380189
Somalia,SOM,1997,382148
Somalia,SOM,1998,386799
Somalia,SOM,1999,393011
Somalia,SOM,2000,399655
Somalia,SOM,2001,406389
Somalia,SOM,2002,413512
Somalia,SOM,2003,420949
Somalia,SOM,2004,428613
Somalia,SOM,2005,436876
Somalia,SOM,2006,445629
Somalia,SOM,2007,454764
Somalia,SOM,2008,464293
Somalia,SOM,2009,474791
Somalia,SOM,2010,486542
Somalia,SOM,2011,499596
Somalia,SOM,2012,513594
South Africa,ZAF,1980,4025272
South Africa,ZAF,1981,4105302
South Africa,ZAF,1982,4206079
South Africa,ZAF,1983,4321325
South Africa,ZAF,1984,4428537
South Africa,ZAF,1985,4545090
South Africa,ZAF,1986,4662194
South Africa,ZAF,1987,4771594
South Africa,ZAF,1988,4872994
South Africa,ZAF,1989,4982965
South Africa,ZAF,1990,5118080
South Africa,ZAF,1991,5278584
South Africa,ZAF,1992,5464407
South Africa,ZAF,1993,5656208
South Africa,ZAF,1994,5838436
South Africa,ZAF,1995,6002634
South Africa,ZAF,1996,6144491
South Africa,ZAF,1997,6157621
South Africa,ZAF,1998,6165442
South Africa,ZAF,1999,6042932
South Africa,ZAF,2000,5904379
South Africa,ZAF,2001,5761120
South Africa,ZAF,2002,5617076
South Africa,ZAF,2003,5486651
South Africa,ZAF,2004,5317589
South Africa,ZAF,2005,5166459
South Africa,ZAF,2006,5072256
South Africa,ZAF,2007,5022143
South Africa,ZAF,2008,5070587
South Africa,ZAF,2009,5161060
South Africa,ZAF,2010,5265381
South Africa,ZAF,2011,5375874
South Africa,ZAF,2012,5491791
South Korea,KOR,1980,8446893
South Korea,KOR,1981,8710215
South Korea,KOR,1982,8966882
South Korea,KOR,1983,9217350
South Korea,KOR,1984,9469450
South Korea,KOR,1985,9725105
South Korea,KOR,1986,9978974
South Korea,KOR,1987,10226613
South Korea,KOR,1988,10460395
South Korea,KOR,1989,10676073
South Korea,KOR,1990,10839743
South Korea,KOR,1991,10925914
South Korea,KOR,1992,10989076
South Korea,KOR,1993,11043459
South Korea,KOR,1994,11154574
South Korea,KOR,1995,11261065
South Korea,KOR,1996,11303588
South Korea,KOR,1997,11290378
South Korea,KOR,1998,11267152
South Korea,KOR,1999,11142086
South Korea,KOR,2000,11019242
South Korea,KOR,2001,10878251
South Korea,KOR,2002,10729266
South Korea,KOR,2003,10570932
South Korea,KOR,2004,10412165
South Korea,KOR,2005,10264020
South Korea,KOR,2006,10170250
South Korea,KOR,2007,10083198
South Korea,KOR,2008,10010697
South Korea,KOR,2009,9953211
South Korea,KOR,2010,9905257
South Korea,KOR,2011,9908890
South Korea,KOR,2012,9961625
Spain,ESP,1980,9504425
Spain,ESP,1981,9592918
Spain,ESP,1982,9694942
Spain,ESP,1983,9794318
Spain,ESP,1984,9904523
Spain,ESP,1985,10031053
Spain,ESP,1986,10176847
Spain,ESP,1987,10340591
Spain,ESP,1988,10516386
Spain,ESP,1989,10777871
Spain,ESP,1990,10956746
Spain,ESP,1991,11071447
Spain,ESP,1992,11078815
Spain,ESP,1993,11010037
Spain,ESP,1994,10901098
Spain,ESP,1995,10741463
Spain,ESP,1996,10591039
Spain,ESP,1997,10448165
Spain,ESP,1998,10330533
Spain,ESP,1999,10253452
Spain,ESP,2000,10218562
Spain,ESP,2001,10225492
Spain,ESP,2002,10242496
Spain,ESP,2003,10179032
Spain,ESP,2004,10165195
Spain,ESP,2005,10152824
Spain,ESP,2006,10088801
Spain,ESP,2007,10049238
Spain,ESP,2008,9999135
Spain,ESP,2009,9894596
Spain,ESP,2010,9831673
Spain,ESP,2011,9788908
Spain,ESP,2012,9798622
Sri Lanka,LKA,1980,1286960
Sri Lanka,LKA,1981,1308479
Sri Lanka,LKA,1982,1329716
Sri Lanka,LKA,1983,1351336
Sri Lanka,LKA,1984,1373253
Sri Lanka,LKA,1985,1396152
Sri Lanka,LKA,1986,1420541
Sri Lanka,LKA,1987,1446664
Sri Lanka,LKA,1988,1473485
Sri Lanka,LKA,1989,1500079
Sri Lanka,LKA,1990,1525051
Sri Lanka,LKA,1991,1548955
Sri Lanka,LKA,1992,1571884
Sri Lanka,LKA,1993,1594252
Sri Lanka,LKA,1994,1613692
Sri Lanka,LKA,1995,1632228
Sri Lanka,LKA,1996,1649056
Sri Lanka,LKA,1997,1654225
Sri Lanka,LKA,1998,1659823
Sri Lanka,LKA,1999,1666346
Sri Lanka,LKA,2000,1674712
Sri Lanka,LKA,2001,1686603
Sri Lanka,LKA,2002,1691284
Sri Lanka,LKA,2003,1699106
Sri Lanka,LKA,2004,1705431
Sri Lanka,LKA,2005,1714244
Sri Lanka,LKA,2006,1725276
Sri Lanka,LKA,2007,1750967
Sri Lanka,LKA,2008,1778265
Sri Lanka,LKA,2009,1808389
Sri Lanka,LKA,2010,1840304
Sri Lanka,LKA,2011,1871272
Sri Lanka,LKA,2012,1902234
Sudan,SDN,1980,586957
Sudan,SDN,1981,608057
Sudan,SDN,1982,630909
Sudan,SDN,1983,655373
Sudan,SDN,1984,679516
Sudan,SDN,1985,702593
Sudan,SDN,1986,725316
Sudan,SDN,1987,746415
Sudan,SDN,1988,766102
Sudan,SDN,1989,786335
Sudan,SDN,1990,809594
Sudan,SDN,1991,836860
Sudan,SDN,1992,865424
Sudan,SDN,1993,893967
Sudan,SDN,1994,922298
Sudan,SDN,1995,950221
Sudan,SDN,1996,977342
Sudan,SDN,1997,1003529
Sudan,SDN,1998,1030297
Sudan,SDN,1999,1058571
Sudan,SDN,2000,1087710
Sudan,SDN,2001,1116860
Sudan,SDN,2002,1145727
Sudan,SDN,2003,1177466
Sudan,SDN,2004,1212392
Sudan,SDN,2005,1250359
Sudan,SDN,2006,1291343
Sudan,SDN,2007,1335073
Sudan,SDN,2008,1382032
Sudan,SDN,2009,1429447
Sudan,SDN,2010,1475574
Sudan,SDN,2011,1523903
Sudan,SDN,2012,1573706
Suriname,SUR,1980,13337
Suriname,SUR,1981,13734
Suriname,SUR,1982,14102
Suriname,SUR,1983,14467
